issue key,oldest sprint start date,resolution date
PSIWMS-16872,05.12.2024,19.12.2024
PSIWMS-16867,05.12.2024,07.02.2025
PSIWMS-16851,05.12.2024,13.12.2024
PSIWMS-16850,05.12.2024,13.12.2024
PSIWMS-16849,05.12.2024,13.12.2024
PSIWMS-16847,05.12.2024,17.12.2024
PSIWMS-16846,05.12.2024,17.12.2024
PSIWMS-16845,05.12.2024,17.12.2024
PSIWMS-16844,05.12.2024,17.12.2024
PSIWMS-16837,05.12.2024,11.03.2025
PSIWMS-16828,17.02.2025,07.03.2025
PSIWMS-16826,05.12.2024,08.01.2025
PSIWMS-16812,29.01.2025,05.02.2025
PSIWMS-16811,05.12.2024,07.02.2025
PSIWMS-16810,18.12.2024,10.03.2025
PSIWMS-16809,05.12.2024,16.01.2025
PSIWMS-16808,05.12.2024,17.12.2024
PSIWMS-16807,05.12.2024,18.12.2024
PSIWMS-16806,05.12.2024,10.03.2025
PSIWMS-16803,05.12.2024,18.12.2024
PSIWMS-16801,05.12.2024,07.02.2025
PSIWMS-16797,05.12.2024,04.03.2025
PSIWMS-16767,29.01.2025,31.01.2025
PSIWMS-16766,18.12.2024,09.01.2025
PSIWMS-16763,09.01.2025,10.01.2025
PSIWMS-16762,09.01.2025,29.01.2025
PSIWMS-16758,05.12.2024,09.12.2024
PSIWMS-16757,05.12.2024,09.01.2025
PSIWMS-16756,05.12.2024,09.12.2024
PSIWMS-16753,05.12.2024,29.01.2025
PSIWMS-16750,18.12.2024,20.01.2025
PSIWMS-16749,18.12.2024,29.01.2025
PSIWMS-16733,27.02.2025,14.03.2025
PSIWMS-16729,18.12.2024,14.03.2025
PSIWMS-16728,05.12.2024,07.01.2025
PSIWMS-16727,09.01.2025,15.01.2025
PSIWMS-16725,09.01.2025,14.01.2025
PSIWMS-16724,09.01.2025,15.01.2025
PSIWMS-16722,29.01.2025,31.01.2025
PSIWMS-16696,29.01.2025,18.02.2025
PSIWMS-16686,09.01.2025,03.02.2025
PSIWMS-16685,09.01.2025,03.02.2025
PSIWMS-16681,09.01.2025,03.02.2025
PSIWMS-16680,09.01.2025,03.02.2025
PSIWMS-16677,09.01.2025,03.02.2025
PSIWMS-16669,05.12.2024,09.01.2025
PSIWMS-16663,05.12.2024,07.02.2025
PSIWMS-16661,05.12.2024,06.12.2024
PSIWMS-16659,05.12.2024,29.01.2025
PSIWMS-16655,09.01.2025,29.01.2025
PSIWMS-16653,05.12.2024,13.12.2024
PSIWMS-16616,05.12.2024,18.12.2024
PSIWMS-16521,05.12.2024,29.01.2025
PSIWMS-16520,05.12.2024,18.12.2024
PSIWMS-16513,05.12.2024,04.02.2025
PSIWMS-16512,29.01.2025,04.03.2025
PSIWMS-16492,05.12.2024,22.01.2025
PSIWMS-16491,05.12.2024,16.12.2024
PSIWMS-16473,05.12.2024,16.12.2024
PSIWMS-16454,05.12.2024,13.01.2025
PSIWMS-16452,05.12.2024,02.01.2025
PSIWMS-16436,05.12.2024,09.01.2025
PSIWMS-16410,05.12.2024,18.12.2024
PSIWMS-16378,09.01.2025,29.01.2025
PSIWMS-16377,05.12.2024,28.01.2025
PSIWMS-16375,09.01.2025,26.02.2025
PSIWMS-16370,29.01.2025,10.03.2025
PSIWMS-16368,05.12.2024,29.01.2025
PSIWMS-16359,05.12.2024,08.01.2025
PSIWMS-16358,05.12.2024,08.01.2025
PSIWMS-16355,05.12.2024,29.01.2025
PSIWMS-16354,05.12.2024,29.01.2025
PSIWMS-16337,09.01.2025,19.02.2025
PSIWMS-16321,05.12.2024,08.01.2025
PSIWMS-16320,05.12.2024,08.01.2025
PSIWMS-16319,05.12.2024,09.01.2025
PSIWMS-16189,05.12.2024,10.12.2024
PSIWMS-16170,05.12.2024,09.01.2025
PSIWMS-16165,05.12.2024,17.12.2024
PSIWMS-16160,05.12.2024,17.12.2024
PSIWMS-16153,05.12.2024,29.01.2025
PSIWMS-16146,05.12.2024,11.03.2025
PSIWMS-16115,05.12.2024,29.01.2025
PSIWMS-15995,05.12.2024,19.12.2024
PSIWMS-15981,09.01.2025,24.01.2025
PSIWMS-15967,05.12.2024,14.02.2025
PSIWMS-15901,05.12.2024,20.12.2024
PSIWMS-15734,05.12.2024,29.01.2025
PSIWMS-15654,05.12.2024,06.03.2025
PSIWMS-15509,05.12.2024,18.12.2024
PSIWMS-15187,05.12.2024,28.01.2025
PSIWMS-15185,05.12.2024,18.12.2024
PSIWMS-14938,05.12.2024,17.12.2024
PSIWMS-13314,05.12.2024,09.01.2025
PSIWMS-11613,09.01.2025,05.02.2025
PSIWMS-10541,05.12.2024,09.01.2025
